Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,ShootFC,OffFC,ShootFD,OffFD,PGA,And1,Blkd,Dist.,%2PFGA,0-3%FGA,3-10%FGA,10-16%FGA,16-3P%FGA,%3PFGA,0-3FG%,3-10FG%,10-16FG%,16-3PFG%,2P%A,3P%A,Dunk%FGA,Dunks,C3%3PA,C33P%,Season 
Malik Monk,SG,24,SAC,77,0,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.8,5.2,0.538,0.538,2.4,2.7,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,1719,114,118,16.6,0.587,0.26,2.1,11.3,6.7,25,1.4,1,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1,2%,92%,6%,,,1.1,-2.1,87,32,70,13,82,7,694,19,53,15.8,0.5,0.217,0.185,0.064,0.034,0.5,0.699,0.422,0.333,0.519,0.528,0.832,0.05,34,0.171,0.441,2023
Moses Moody,SG,20,GSW,63,3,13,1.7,3.6,0.476,0.8,2.1,0.363,0.9,1.5,0.641,0.584,0.6,0.8,0.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8,817,116,117,10.3,0.603,0.233,3.8,10.2,7.1,8.2,1,0.8,12,14.6,0.7,0.6,1.3,0.076,-1.7,-0.9,-2.6,-0.1,,47%,51%,2%,,-0.7,-3.2,20,6,30,1,30,9,127,12,10,17.1,0.405,0.225,0.132,0.031,0.018,0.595,0.725,0.5,0.429,1,0.695,0.98,0.101,19,0.348,0.34,2023
Xavier Moon,SG,28,LAC,4,0,5,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0.389,0,0,,0,0.8,0.8,1.3,0,0,0.3,0.5,1.8,20,96,119,7.2,0.389,0,0,16.6,8.4,35.7,0,0,10,21.8,0,0,0,-0.03,-4.1,-1,-5.1,0,17%,83%,,,,-25,-25.7,1,0,2,0,0,0,12,0,0,18.1,0.667,0,0.111,0.222,0.333,0.333,,1,0,0.333,0,1,0,0,0.333,0,2023
Wendell Moore Jr.,SG,21,MIN,29,2,5.3,0.6,1.5,0.419,0.1,0.6,0.118,0.6,0.9,0.615,0.442,0.1,0.2,0.8,0.1,0.5,0.6,0.6,0.3,0.2,0.3,0.4,1.4,153,98,113,9.3,0.465,0.116,3,10,6.6,15.3,2.5,2.8,15,14.9,-0.1,0.2,0.1,0.028,-3.8,1.3,-2.4,0,18%,28%,44%,10%,,-12.7,-13.1,5,1,7,0,2,3,45,0,3,11.8,0.605,0.419,0.116,0.047,0.023,0.395,0.778,0.4,0,0,0.438,1,0,0,0.412,0.143,2023
Ja Morant,PG,23,MEM,61,59,31.9,9.3,19.9,0.466,1.5,4.9,0.307,7.8,15,0.519,0.504,6.1,8.1,0.748,1,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,1948,114,112,23.3,0.557,0.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6,0.148,5.2,0.5,5.7,3.8,79%,21%,,,,6.9,6.5,111,46,46,10,234,25,1170,62,84,11.1,0.753,0.289,0.295,0.144,0.025,0.247,0.652,0.419,0.463,0.467,0.181,0.533,0.058,55,0.1,0.433,2023
Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1,1.3,0.782,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2,1825,108,116,10.5,0.534,0.135,1.8,13.9,7.9,8.9,1.1,1,7.6,17.6,0.4,1.6,2,0.053,-1.8,-0.2,-1.9,0,,,11%,81%,8%,-0.8,-2.7,18,16,68,10,32,7,283,9,15,18.2,0.521,0.07,0.118,0.199,0.134,0.479,0.711,0.5,0.414,0.453,0.414,0.955,0.008,5,0.231,0.31,2023
Markieff Morris,PF,33,TOT,35,2,10.1,1.3,3.3,0.409,0.8,2,0.394,0.5,1.3,0.432,0.53,0.3,0.3,1,0.4,1.7,2,0.9,0.3,0.1,0.5,1.4,3.8,355,108,115,10.4,0.553,0.087,4.2,18.2,11.3,12.2,1.2,1.2,13.1,17.2,0.1,0.4,0.4,0.059,-2.3,-0.4,-2.7,-0.1,,,7%,57%,36%,2.5,1.8,10,1,23,5,3,1,68,0,0,19.7,0.383,0.061,0.087,0.157,0.078,0.617,0.571,0.2,0.556,0.333,0.737,1,0.009,1,0.31,0.409,2023
Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6,285,110,114,10.7,0.556,0.122,5.2,17.7,11.6,11.8,1.4,1.5,13.9,15.6,0.1,0.3,0.4,0.074,-1.8,-0.1,-1.9,0,,,9%,59%,32%,6.2,5.4,8,1,15,3,3,1,55,0,0,18.9,0.402,0.073,0.122,0.159,0.049,0.598,0.5,0.2,0.462,0.5,0.846,1,0.012,1,0.367,0.444,2023
Markieff Morris,PF,33,DAL,8,1,8.8,1.8,4.1,0.424,1,2.8,0.364,0.8,1.4,0.545,0.545,0,0,,0,1.5,1.5,0.8,0.1,0,0.5,1.9,4.5,70,100,118,9.1,0.545,0,0,20.2,10,13.7,0.7,0,10.8,23.9,0,0.1,0,0.002,-4.4,-1.4,-5.8,-0.1,,,,49%,51%,-12.6,-13.1,2,0,8,2,0,0,13,0,0,21.8,0.333,0.03,0,0.152,0.152,0.667,1,,0.8,0.2,0.5,1,0,0,0.182,0.25,2023
Monte Morris,PG,27,WAS,62,61,27.3,4,8.3,0.48,1.3,3.3,0.382,2.7,5,0.543,0.555,1,1.2,0.831,0.4,3,3.4,5.3,0.7,0.2,1,1.2,10.3,1695,125,118,15,0.579,0.15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1,100%,,,,,0.1,2.4,42,12,34,2,30,15,769,11,19,16.2,0.604,0.118,0.21,0.142,0.134,0.396,0.754,0.509,0.493,0.464,0.29,0.769,0,0,0.245,0.4,2023
Trey Murphy III,SF,22,NOP,79,65,31,4.9,10.1,0.484,2.6,6.3,0.406,2.3,3.8,0.611,0.61,2.2,2.4,0.905,0.7,2.8,3.6,1.4,1.1,0.5,0.8,2,14.5,2448,128,114,15.2,0.65,0.238,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,,7%,62%,32%,,0.6,-4,28,15,96,11,73,16,261,22,23,18,0.379,0.203,0.129,0.02,0.028,0.621,0.759,0.495,0.188,0.364,0.67,0.96,0.124,85,0.268,0.429,2023
Dejounte Murray,SG,26,ATL,74,74,36.4,8.3,17.8,0.464,1.8,5.2,0.344,6.5,12.6,0.514,0.514,2.1,2.6,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,2693,112,116,17,0.54,0.144,2.1,13.8,7.9,24,2,0.6,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0,1,2.1,29%,70%,1%,,,-1.2,-5,85,56,54,6,93,6,1042,26,57,14.6,0.707,0.159,0.158,0.232,0.158,0.293,0.7,0.433,0.461,0.486,0.194,0.729,0.016,21,0.225,0.437,2023
